Name of the document,Institution,URL,Authors,Affiliates,Sector,Country,Date,Keywords,Exclusion criteria,Status,Label,MapAIE (ours),Jobin,Fjeld,Tidjon,Hagendorff,Floridi,Zeng (LAIP),Attard-Frost,EP,Algorithm watch,CE,Winfield,EthicalML GitHub,all sources,Checked by,,,
Draft Information Sharing Code of Practice,"Department for Digital, Culture, Media & Sport (United Kingdom)",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/709519/2018-05_PSD_Debt_and_Fraud_Draft_Information_Sharing_Code_of_Practice.pdf,,,,UK,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
"Establishing a pro-innovation approach to regulating AI
 : An overview of the UK’s emerging approach","Department for Digital, Culture, Media & Sport (United Kingdom)",https://www.gov.uk/government/publications/establishing-a-pro-innovation-approach-to-regulating-ai/establishing-a-pro-innovation-approach-to-regulating-ai-policy-statement,,,,UK,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
New national innovation centre to put UK at forefront of big data,"Department for Digital, Culture, Media & Sport (United Kingdom)",https://www.gov.uk/government/news/new-national-innovation-centre-to-put-uk-at-forefront-of-big-data,,,,UK,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Guidelines for AI procurement,"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy - Office for AI (United Kingdom)",https://www.gov.uk/government/publications/guidelines-for-ai-procurement/guidelines-for-ai-procurement,,,,UK,,,,included,SPI field-specific,1,,,1,,,,,,,1,,,2,Mel,,,
National AI Strategy,"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy - Office for AI (United Kingdom)",https://www.gov.uk/government/publications/national-ai-strategy/national-ai-strategy-html-version,,,,UK,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
AI Sector Deal,"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy (United Kingdom)",https://www.gov.uk/government/publications/artificial-intelligence-sector-deal/ai-sector-deal,,,,UK,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Growing the artificial intelligence industry in the UK,"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy (United Kingdom)",https://www.gov.uk/government/publications/growing-the-artificial-intelligence-industry-in-the-uk,,,,UK,,,,included,,1,,,,,,,,,,1,,,1,Tiphaine,,,
Policy paper on A Sector Deal between government and the Artificial Intelligence sector,"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy (United Kingdom)",https://www.gov.uk/government/publications/artificial-intelligence-sector-deal,,,,UK,,,,not included,policy,0,,,,,,,,,,1,,,1,Tiphaine,,,
National Artificial Intelligence Strategy,"Department of Business, Enterprise and Innovation (DBEI) of Ireland",https://enterprise.gov.ie/en/Consultations/Public-Consultation-Development-of-a-National-Strategy-on-Artificial-Intelligence.html.,,,,Ireland,,,,included,SPI (strategy),1,,,,,,,,,,1,,,1,Tiphaine,,,
A Method for Ethical AI in Defence,Department of Defence (Australia),https://www.dst.defence.gov.au/sites/default/files/publications/documents/A%20Method%20for%20Ethical%20AI%20in%20Defence.pdf,,,,Australia,,,,included,SPI field-specific,1,,,,,,,,,,0,,,0,Mel,,,
Action Plan for AI and Cybersecurity,"Department of Economy, Science and Innovation (Flanders, Belgium)",https://www.ewi-vlaanderen.be/sites/default/files/quaternota_aan_de_vlaamse_regering_-_vlaams_beleidsplan_artificiele_intelligentie.pdf,,,,Belgium,,,,Not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
Initial Code of Conduct for Data-Driven Health and Care Technology,Department of Health & Social Care,https://www.gov.uk/government/publications/code-of-conduct-for-data-driven-health-and-care-technology/initial-code-of-conduct-for-data-driven-health-and-care-technology,,,,UK,,,,Included,SPI field-specific,1,,,,,,,,,,1,,,1,Maria,,,
AI Ethics Principles,"Department of Industry, Science, Energy and Resources (Australia)",https://www.industry.gov.au/publications/australias-artificial-intelligence-ethics-framework/australias-ai-ethics-principles,,,,Australia,,,,included,,1,,,,,,,,,,1,,,1,Mel,,,
National Conception of Informatisation of public sector of the Slovak Republic,Deputy Prime Minister of the Slovak Republic for Investment and Informatics,http://www.informatizacia.sk/narodna-koncepcia-informatizacie-verejnej-spravy--2016-/22662c,,,,Slovakia,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Strategic Priority the Open Data,Deputy Prime Minister of the Slovak Republic for Investment and Informatics,http://www.informatizacia.sk/strategicke-priority-erf/24190c,,,,Slovakia,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Guidelines for Artificial Intelligence,Deutsche Telekom,https://www.telekom.com/en/company/digital-responsibility/details/artificial-intelligence-ai-guideline-524366,,,industry,Germany,2018-04-24,,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
Artificial Intelligence and the Future of Work,DGB,"https://www.dgb.de/themen/++co++4f242f08-18a7-11e9-b2c1-52540088cada initial url not working, new url: https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiZ6a3w0_iCAxVlUKQEHcsnDN4QFnoECBIQAQ&url=https%3A%2F%2Fwww.dgb.de%2Fthemen%2F%2B%2Bco%2B%2B29d3ee00-4efd-11e9-82a1-52540088cada&usg=AOvVaw2uchumi-lETfyju8MafQcQ&opi=89978449",,,,Germany,,,,Included,"SPI, digital, issue-specific",1,,,,,,,,,1,,,,1,Maria,,,
A way forward for the D9 in the age of AI: An industry view,Digital Future for Europe coalition,https://www.digitalfutureforeurope.com/wp-content/uploads/A-way-forward-for-the-D9-in-the-age-of-AI-v4-1.pdf,,,,UK,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Principles for Digital Development,Digital Impact Alliance (DIAL),https://digitalprinciples.org/,,,,USA,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
Deon - An Ethics Checklist for data scientists,DrivenData,https://deon.drivendata.org/,,,,USA,,,,not included,tool,0,,,,,,,,,,1,,,1,Mel,,,
"Law, Technology and Innovation","DTIBR (Centro de pesquisa em direito, tecnologia e inovaçao), Expert Editora Digital",https://joelgomez.abogado.digital/2021-law-technology-and-innovation-v-ii/,,,,Brazil,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Data preprocessing techniques for classification without discrimination,Eindhoven University of Technology,https://link.springer.com/article/10.1007/s10115-011-0463-8,,,,Netherlands,,,,Included,"SPI, techno-specific, issue-specific",1,,,1,,,,,,,,,,1,Maria,,,
Principles of robotics: regulating robots in the real world,Engineering and Physical Sciences Research Council UK (EPSRC),https://www.tandfonline.com/doi/epdf/10.1080/09540091.2016.1271400?needAccess=true&role=button,"Margaret Bodena, Joanna Brysonb, Darwin Caldwellc, Kerstin Dautenhahnd, Lilian Edwardse, Sarah Kemberf, Paul Newmang, Vivienne Parryh, Geoff Pegmani, Tom Roddenj, Tom Sorrellk, Mick Wallisl, Blay Whitbyaand, Alan Winfield",.,academia,UK,2017,"Robot ethics, principles of robotics, responsible innovation",,included,digital,1,1,1,,,,,,,1,1,1,,5,Mel,,,
A Moral Framework for Understanding of Fair ML through Economic Models of Equality of Opportunity,ETH Zurich,https://arxiv.org/abs/1809.03400,,,,Switzerland,,,,Included,"SPI, techno-specific, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
"AI, the global landscape of ethics guidelines",ETH Zurich,https://arxiv.org/ftp/arxiv/papers/1906/1906.11668.pdf,,,,Switzerland,,,,Not included,meta-analysis,0,,,,,,,,,,1,,,1,Maria,,,
The global landscape of AI ethics guidelines,ETH Zurich,https://www.nature.com/articles/s42256-019-0088-2,,,,Switzerland,,,,Not included,meta-analysis,0,,,1,,,,,,,,,,1,Maria,,,
Guidelines for the responsible use of artificial intelligence and other digital technologies in human resources - Richtlinien für den verantwortungsvollen Einsatz von Künstlicher Intelligenz und weiteren digitalen Technologien in der Personalarbeit,Ethics council HR Tech - Ethikbeirat HR Tech,https://www.ethikbeirat-hrtech.de/wp-content/uploads/2019/09/Ethikbeirat_und_Richtlinien_Konsultationsfassung_final.pdf,,,,Germany,,,,Not included,not in english,0,,,,,,,,,1,,,,1,Maria,,,
Automated and connected automated driving - Automatisiertes und Vernetztes Fahren,Ethics Committee of the Federal Ministry of Transport and Digital Infrastructure (BMVI) - Ethkikkommission des Bundesministeriums für Verkehr und digitale Infrastruktur (Germany),https://www.bmdv.bund.de/SharedDocs/EN/publications/report-ethics-commission-automated-and-connected-driving.pdf?__blob=publicationFile,,,,Germany,,,,included,field-specific,1,1,,,,,,,,1,1,,,3,Mel,,,
The FLY AI Report: Demystifying and Accelerating AI in Aviation/ATM,EUROCONTROL,https://www.eurocontrol.int/sites/default/files/2020-03/eurocontrol-fly-ai-report-032020.pdf,,,,EU,,,,Included,"SPI, techno-specific",1,,,,,,,,,,1,,,1,Maria,,,
2030 Digital Compass: the European way for the Digital Decade,European Commission,https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A52021DC0118,,,,international,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
A multi-dimensional approach to disinformation,European Commission,https://op.europa.eu/en/publication-detail/-/publication/6ef4df8b-4cea-11e8-be1d-01aa75ed71a1/language-en,,,,international,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Protecting Fundamental Rights in the Digital Age - 2021 Annual Report on the Application of the EU Charter of Fundamental Rights,European Commission,https://commission.europa.eu/system/files/2021-12/1_1_179442_ann_rep_en_0.pdf new url https://ec.europa.eu/commission/presscorner/detail/en/ip_21_6699,,,,EU,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Artificial Intelligence for Europe,European Commission,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52018DC0237&from=EN,.,.,international organisation,EU,2018-04-25,,,included,SPI,1,,1,,,,,1,,,1,,,3,Mel,,,
"Study on eHealth, Interoperability of Health Data and Artificial Intelligence for Health and Care in the European Union",European Commission,https://www.digitalhealthnews.eu/images/stories/pdf/artificial_intelligence_in_healthcare-final_report.pdf,,,,EU,,,,Included,"SPI, digital, field-specific",1,,,,,,,,,,1,,,1,Maria,,,
"Study on the relevance and
 impact of artificial intelligence
 for company law and
 corporate governance",European Commission,https://op.europa.eu/en/publication-detail/-/publication/13e6a212-6181-11ec-9c6c-01aa75ed71a1/language-en,,,,EU,,,,Included,"SPI, digital, field-specific",1,,,,,,,,,,1,,,1,Maria,,,
EDPS calls for closer alignment between consumer and data protection rules in the EU,European Data Protection Supervisor (EDPS),https://edps.europa.eu/node/4907,,,,international,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Final Report on Big Data,"ESMA (European Securities and Markets Authority), EBA (European Banking Authority), EIOPA (European Insurance and Occupational Pensions Authority) and the Joint Committtee of the European Supervisory Authorities, Joint Committee",https://www.esma.europa.eu/sites/default/files/library/jc-2018-04_joint_committee_final_report_on_big_data.pdf,,,,EU,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Code of Practice on Disinformation,European Commission,https://digital-strategy.ec.europa.eu/en/news/code-practice-disinformation,,,,international,,,,not included,not ai,0,,,,,,,,,1,,,,1,Tiphaine,,,
Communication on Building Trust in Human-Centric AI,European Commission,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=58496,,,,international,,,,included,SPI (strategy),1,,,,,,,,,,1,,,1,Tiphaine,,,
Communication on the Digital Education Action Plan,European Commission,https://education.ec.europa.eu/focus-topics/digital-education/action-plan,,,,international,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Coordinated plan on AI,European Commission,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=56018,,,,international,,,,Included,,1,,,,,,,,,,1,,,1,Maria,,,
Coordinated Plan on Artificial Intelligence 2021 Review,European Commission,https://digital-strategy.ec.europa.eu/en/library/coordinated-plan-artificial-intelligence-2021-review direct download url https://ec.europa.eu/newsroom/dae/redirection/document/75787,,,,EU,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Declaration on cooperation on AI,European Commission,"https://ec.europa.eu/jrc/communities/en/community/digitranscope/document/eu-declaration-cooperation-artificial-intelligence#:~:text=Declaration%20signed%20at%20Digital%20Day%20on%2010th%20April%202018.&text=This%20Declaration%20builds%20on%20the,of%20a%20Digital%20Single%20Market.",,,,international,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Democracy and digitalisation,European Commission,https://op.europa.eu/o/opportal-service/download-handler?identifier=651a6438-7357-11ec-9136-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=,,,,EU,,,,not included,"not ai, not ai ethics",0,,,,,,,,,,1,,,1,Tiphaine,,,
Digital Finance Strategy for the EU,European Commission,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020DC0591&from=EN,,,,international,,,,not included,"not ai, not ai ethics",0,,,,,,,,,,1,,,1,Tiphaine,,,
Making the most of the EU’s innovative potential: An intellectual property action plan to support the EU’s recovery and resilience,European Commission,https://ec.europa.eu/docsroom/documents/43845,,,,international,,,,not included,"not ai, not ai ethics",0,,,,,,,,,,1,,,1,Tiphaine,,,
Proposal for a Regulation on a European approach for Artificial Intelligence (AI Act),European Commission,https://digital-strategy.ec.europa.eu/en/library/proposal-regulation-european-approach-artificial-intelligence,,,,international,,,,not included,not prescriptive (binding),0,,,,,,,,,,1,,,1,Tiphaine,,,
Study on the use of innovative technologies in the justice field,European Commission,https://op.europa.eu/en/publication-detail/-/publication/4fb8e194-f634-11ea-991b-01aa75ed71a1,,,,EU,,,,Included,SPI field-specific,1,,,,,,,,,,1,,,1,Maria,,,
White Paper on AI - A European approach to excellence and trust,European Commission,https://commission.europa.eu/system/files/2020-02/commission-white-paper-artificial-intelligence-feb2020_en.pdf,,,,international,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Assessment List for Trustworthy Artificial Intelligence (ALTAI) for self-assessment,European Commission (AI HLEG),https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=68342,,,,international,,,,included,,1,,,,,,,,,,1,,,1,Mel,,,
Ethics Guidelines for Trustworthy AI,European Commission (AI HLEG),https://www.aepd.es/sites/default/files/2019-12/ai-ethics-guidelines.pdf,.,.,international organisation,EU,2020-06-01,,,included,,1,1,1,,1,,1,1,,1,1,1,1,9,Mel,,,
Study supporting the impact assessment of the AI regulation,European Commission,https://digital-strategy.ec.europa.eu/en/library/study-supporting-impact-assessment-ai-regulation,,,,EU,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Policy and investment recommendations for trustworthy Artificial Intelligence,European Commission (AI HLEG),https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=60343,,,,international,,,,included,field-specific,1,,,,,,,,,,1,,,1,Tiphaine,,,
Humans and Societies at the Age of Artificial Intelligence,"European Commission (DG for Education, Youth, Sport and Culture)",https://op.europa.eu/en/publication-detail/-/publication/a72ac1a9-98e2-11eb-b85c-01aa75ed71a1/language-en,,,,EU,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Algorithmic discrimination in Europe: Challenges and opportunities for gender equality and non-discrimination law,"European Commission (European network of legal experts in
  gender equality and non-discrimination)",https://op.europa.eu/en/publication-detail/-/publication/082f1dbc-821d-11eb-9ac9-01aa75ed71a1,,,,EU,,,,Included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
Liability for Artificial Intelligence and other emerging digital technologies,European Commission (Expert group on liability and new technologies),https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=63199,,,,EU,,,,Included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
"AI for the public sector: Report
 of the “4 th Peer Learning Workshop
 on the use and impact of AI in public
 services”, 28 October 2021","European Commission (Joint Research Centre, AI Watch)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC127944/JRC127944_01.pdf,,,,EU,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Tiphaine,,,
AI Watch: AI Standardisation Landscape - State of play and link to the EC proposal for an AI regulatory framework,"European Commission (Joint Research Centre, AI Watch)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC125952/ai_watch_task_9_standardization_activity_mapping_v5.1.3.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence in public services - Overview of the use and impact of AI in public services in the EU,"European Commission (Joint Research Centre, AI Watch)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC120399/jrc120399_misuraca-ai-watch_public-services_30062020_def.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Assessing Technology Readiness Levels for Artificial Intelligence,"European Commission (Joint Research Centre, AI Watch)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC122014/jrc122014_ai_watch_assessing_technology_readiness_levels_for_artificial_intelligence-1.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
"Beyond pilots: sustainable implementation
 of AI in public services","European Commission (Joint Research Centre, AI Watch)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC126665/jrc126665_sustainable_implementation_of_ai_in_public_services_technical-report_v2.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Defining Artificial Intelligence : towards an operational definition and taxonomy of artificial intelligence,"European Commission (Joint Research Centre, AI Watch)",https://op.europa.eu/o/opportal-service/download-handler?identifier=6cc0f1b6-59dd-11ea-8b81-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
"National strategies on Artificial Intelligence: A European perspective, 2021 edition","European Commission (Joint Research Centre, AI Watch)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC122684/ai_watch_report_national_ai_strategies.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
"National strategies on Artificial Intelligence: A European perspective, 2022 edition","European Commission (Joint Research Centre, AI Watch)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC122684/ai_watch_report_national_ai_strategies.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Road to the Adoption of Artificial Intelligence by the Public Sector,"European Commission (Joint Research Centre, AI Watch)",https://op.europa.eu/fr/publication-detail/-/publication/34251428-dc12-11ec-a534-01aa75ed71a1,,,,EU,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Artificial Intelligence: A european perspecive,European Commission (Joint Research Centre),https://publications.jrc.ec.europa.eu/repository/handle/JRC113826 direct download url https://publications.jrc.ec.europa.eu/repository/bitstream/JRC113826/ai-flagship-report-online.pdf,,,,EU,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
"Glossary of human-centric artificial
 intelligence",European Commission (Joint Research Centre),https://publications.jrc.ec.europa.eu/repository/bitstream/JRC129614/JRC129614_01.pdf,,,,EU,,,,not included,not prescriptive (tool),0,,,,,,,,,,1,,,1,Tiphaine,,,
"The impact of Artificial Intelligence on learning, teaching, and education",European Commission (Joint Research Centre),https://op.europa.eu/o/opportal-service/download-handler?identifier=5cb8eee3-e888-11e8-b690-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=,,,,EU,,,,included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
"Statement on Artificial Intelligence, Robotics and 'Autonomous' Systems","European Commission, European Group on Ethics in Science and New Technologies",https://www.telekom.com/resource/blob/532446/f32ea4f5726ff3ed3902e97dd945fa14/dl-180710-ki-leitlinien-en-data.pdf,,,international organisation,EU,2018-03-09,,,included,digital,1,1,,,,1,1,,,1,1,,,5,Mel,,,
What Future for European Robotics? JRC Conference and Workshop Report,European Commission (Joint Research Centre),https://publications.jrc.ec.europa.eu/repository/bitstream/JRC125343/what-future-for-european-robotics.pdf,,,,EU,,,,included,"SPI, field-specific, issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
"Artificial intelligence, blockchain and the future of Europe: How disruptive technologies create opportunities for a green and digital economy","European Commission, European Investment Bank",https://www.eib.org/attachments/thematic/artificial_intelligence_blockchain_and_the_future_of_europe_report_en.pdf,,,,EU,,,,included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Opinion 3/2018 on online manipulation and personal data,European Data Protection Supervisor (EDPS),https://edps.europa.eu/sites/edp/files/publication/18-03-19_online_manipulation_en.pdf,,,,international,,,,not included,not AI,0,,,,,,,,,,1,,,1,Tiphaine,,,
Open letter: Civil society call for the introduction of red lines in the upcoming European Commission proposal on Artificial Intelligence,European Digital Rights (EDRi),https://edri.org/wp-content/uploads/2021/01/EDRi-open-letter-AI-red-lines.pdf,,,,Belgium,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
"Adopted Opinion Investing in a smart, innovative and sustainable industry",European Economic and Social Committee (EESC),https://www.eesc.europa.eu/en/our-work/opinions-information-reports/opinions/investing-smart-innovative-and-sustainable-industry-referral,,,,international,,,,not included,not AI,0,,,,,,,,,,1,,,1,Tiphaine,,,
Adopted Opinion on Building a European Data Economy,European Economic and Social Committee (EESC),https://webapi2016.eesc.europa.eu/v1/documents/EESC-2017-00654-00-00-AC-TRA-en.docx/content,,,,international,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
"Opinion on AI - The consequences of artificial intelligence on the (digital) single market, production, consumption, employment and society’",European Economic and Social Committee (EESC),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52016IE5369&from=EN,,,,international,,,,included,,1,,,,,,,,,,1,,,1,Mel,,,
Guiding Principles for Automated Decision-Making in the EU,European Law Institute (ELI),https://www.europeanlawinstitute.eu/fileadmin/user_upload/p_eli/Publications/ELI_Innovation_Paper_on_Guiding_Principles_for_ADM_in_the_EU.pdf,,,,EU,,,,included,field-specific,1,,,,,,,,,,1,,,1,Tiphaine,,,
Model Rules on Impact Assessment of Algorithmic Decision-Making Systems Used by Public Administration,European Law Institute (ELI),https://www.europeanlawinstitute.eu/fileadmin/user_upload/p_eli/Publications/ELI_Model_Rules_on_Impact_Assessment_of_ADMSs_Used_by_Public_Administration.pdf,,,,EU,,,,not included,not ai ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Meeting the new challenges to equality and non-discrimination from increased digitisation and the use of Artificial Intelligence,European Network of Equality Bodies (EQUINET),https://ai.equineteurope.org/system/files/2021-04/EQUINET_REGULATING%20FOR%20AN%20EQUAL%20AI_2020_report.pdf,,,,EU,,,,included,issue-specific,1,,,,,,,,,,1,,,1,Tiphaine,,,
Regulating for European AI that Protects and Advances Equality,European Network of Equality Bodies (EQUINET),https://ai.equineteurope.org/system/files/2022-06/Equinet-Position-Paper-on-AI-and-Equality.pdf,,,,EU,,,,included,,1,,,,,,,,,,1,,,1,Tiphaine,,,
A governance framework for algorithmic accountability and transparency,European Parliament,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
AI and digital tools in workplace management and evaluation: An assessment of EU's legal framework,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/729516/EPRS_STU(2022)729516_EN.pdf,,,,EU,,,,included,"SPI (study), field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence and public services,European Parliament,https://www.europarl.europa.eu/RegData/etudes/BRIE/2021/662936/IPOL_BRI(2021)662936_EN.pdf,,,,EU,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Mel,,,
Artificial Intelligence and the fisheries sector,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/699643/IPOL_STU(2022)699643_EN.pdf,,,,EU,,,,included,"SPI (study), field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence diplomacy,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/662926/IPOL_STU(2021)662926_EN.pdf,,,,EU,,,,included,"SPI (study), field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial intelligence in road transport - Cost of non-Europe report,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/654212/EPRS_STU(2021)654212_EN.pdf,,,,EU,,,,included,"SPI (study), field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence in smart cities and urban mobility,European Parliament,http://www.europarl.europa.eu/RegData/etudes/BRIE/2021/662937/IPOL_BRI(2021)662937_EN.pdf,,,,EU,,,,included,"SPI (study), field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence market and capital flows,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/662912/IPOL_STU(2021)662912_EN.pdf,,,,EU,,,,included,"field-specific, issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial intelligence: questions of interpretation and application of international law in so far as the EU is affected in the areas of civil and military uses and of state authority outside the scope of criminal justice,European Parliament,https://www.europarl.europa.eu/doceo/document/TA-9-2021-0009_EN.pdf,,,,international,,,,not included,not prescriptive (comments on other texts),0,,,,,,,,,,1,,,1,Tiphaine,,,
Auditing the quality of datasets used in algorithmic decision-making systems,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/729541/EPRS_STU(2022)729541_EN.pdf,,,,EU,,,,included,field-specific,1,,,,,,,,,,1,,,1,Tiphaine,,,
Biometric Recognition and Behavioural Detection,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/696968/IPOL_STU(2021)696968_EN.pdf,,,,EU,,,,included,"field-specific, issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Challenges and limits of an open source approach to Artificial Intelligence,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/662908/IPOL_STU(2021)662908_EN.pdf,,,,EU,,,,included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Civil liability regime for artificial intelligence - European added value assessment,European Parliament,https://www.europarl.europa.eu/thinktank/en/document.html?reference=EPRS_STU(2020)654178,,,,EU,,,,included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Comprehensive European industrial policy on artificial intelligence and robotics,European Parliament,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=&reference=2018/2088(INI),,,,international,,,,included,SPI (policy),1,,,,,,,,,,1,,,1,Tiphaine,,,
Digital automation and the future of work,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/656311/EPRS_STU(2021)656311_EN.pdf,,,,EU,,,,included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Draft report on artificial intelligence in a digital age,European Parliament,https://www.europarl.europa.eu/doceo/document/AIDA-PR-680928_EN.pdf,,,,EU,,,,not included,draft,0,,,,,,,,,,1,,,1,Tiphaine,,,
EU guidelines on ethics in artificial intelligence: Context and implementation,European Parliament,https://www.europarl.europa.eu/RegData/etudes/BRIE/2019/640163/EPRS_BRI(2019)640163_EN.pdf,,,,EU,,,,included,,1,,,,,,,,,,1,,,1,Tiphaine,,,
EU Legislation in Progress - AI Act,European Parliament,https://www.europarl.europa.eu/RegData/etudes/BRIE/2021/698792/EPRS_BRI(2021)698792_EN.pdf,,,,EU,,,,not included,summary of AI Act,0,,,,,,,,,,1,,,1,Tiphaine,,,
"European Artificial Intelligence (AI) leadership, the path for an integrated vision",European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2018/626074/IPOL_STU(2018)626074_EN.pdf,,,,EU,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
